Depth, sediment [m]	AGE [ka BP]	Betula sect. Albae [#]	Larix [#]	Picea [#]	Pinus subgenus Diploxylon [#]	Pinaceae [#]	Betula sect. nanae [#]	Duschekia fruticosa [#]	Ephedra [#]	Ericales [#]	Ericales empetrum [#]	Ericales vaccinium [#]	Juniperus [#]	Pinus subgenus Haploxylon [#]	Ribes [#]	Salix [#]	Cyperaceae [#]	Poaceae [#]	Apiaceae [#]	Armeria [#]	Artemisia [#]	Asteraceae subfam. Asteroideae indeterminata [#]	Asteraceae subfam. Asteroideae matricaria [#]	Asteraceae subfam. Asteroideae saussurea [#]	Asteraceae subfam. Asteroideae senecio [#]	Asteraceae subfam. Cichorioideae [#]	Brassicaceae [#]	Caryophyllaceae indeterminata [#]	Caryophyllaceae cerastium [#]	Caryophyllaceae gypsophila [#]	Caryophyllaceae minuartia [#]	Caryophyllaceae stellaria holostea [#]	Chenopodiaceae [#]	Cuscuta [#]	Drosera [#]	Epilobium [#]	Fabaceae [#]	Galium [#]	Gentianaceae [#]	Geraniaceae [#]	Pollen, Indeterminata [#]	Lamiaceae [#]	Lamiaceae galeopsis [#]	Liliaceae [#]	Linum [#]	Papaveraceae [#]	Plantago [#]	Polemonium [#]	Polygonaceae [#]	Polygonaceae polygonum bistorta [#]	Polygonaceae polygonum viviparum [#]	Polygonaceae rumex [#]	Primulaceae [#]	Ranunculaceae [#]	Ranunculaceae pulsatilla [#]	Ranunculaceae thalictrum [#]	Rosaceae [#]@minus operc.	Rosaceae [#]@plus operc.	Rosaceae dryas [#]	Rosaceae potentilla [#]	Rosaceae sanguisorba officinalis [#]	Rutaceae [#]	Scrophulariaceae [#]	Scrophulariaceae pedicularis [#]	Saxifragaceae [#]	Valeriana  [#]	Valerianella [#]	Myriophyllum [#]	Potamogeton [#]	Botrychium [#]	Cystopteris fragilis [#]	Dryopteris filix-mas [#]	Encalypta [#]	Equisetum [#]	Huperzia selago [#]	Isoetes [#]	Lycopodium annotinum [#]	Lycopodium clavatum [#]	Osmundaceae [#]	Polypodiaceae [#]	Pteridium [#]	Riccia [#]	Selaginella rupestris [#]	Sphagnum [#]	Spores, trilete [#]	Woodsia-type [#]	Botryococcus [#]	Pediastrum [#]	Arcella [#]	Assulina muscorum [#]	Asco spore [#]	Copepoda spermatophore [#]	Delitschia [#]	cf. Endofragmiella sp. [#]	Gelasinospora sp. [#]	Geumannomyces [#]	Glomus [#]	Macrobiotus coronifer-islandicus [#]	Macrobiotus hufelandii [#]	Microthyrium sp. [#]	Podospora [#]	scalariform perforation plate [#]	Sordariales [#]	Spirogyra sp. [#]	Sporomiella [#]	Sporomiella spore [#]	Stomata [#]	Thekaphora [#]	Conifer-Tracheids [#]	Trichocladium asperum [#]	Pollen, indeterminata [#]@Type 8C	Pollen, indeterminata [#]@Type 74	Pollen, indeterminata [#]@Type 119	Pollen, indeterminata [#]@Type 187B	Pollen, indeterminata [#]@Type 225	Pollen, indeterminata [#]@Type 307B	Pollen, indeterminata [#]@Type 354	Pollen, indeterminata [#]@U2	Pollen, indeterminata [#]@U2a	Zoomorpha remains [#]	Chironomids [#]	Zygnemataceae [#]	Spores redeposited [#]	Betula redeposited [#]	Pinus redeposited [#]	Pollen total [#]	Marker, added [#]	Pollen per unit sediment mass [#/g]
7.97	40.97	0	0	0	0	1	11	2	0	3	0	1	0	0	0	4	237	108	1	0	25	0	8	0	0	5	0	15	1	0	0	3	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	1	4	2	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	8	0	0	0	12	20	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	7	4	14	0	0	0	446	225	9408
8.07	41.668	0	1	0	0	2	16	0	0	4	0	3	0	0	0	1	226	206	1	0	16	0	8	1	1	4	2	26	0	2	0	5	1	0	0	0	0	0	0	0	3	1	0	0	0	5	0	0	2	0	0	0	1	14	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	0	0	5	6	0	0	0	0	1	0	0	0	1	0	0	0	1	5	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	16	0	1	3	12	0	0	0	557	184	14368
8.17	42.365	0	0	0	0	1	13	0	0	2	0	3	0	0	0	1	192	182	0	0	20	0	3	2	5	9	1	22	0	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	21	33	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	1	0	16	0	0	0	473	282	7961
8.27	43.062	3	13	0	1	0	22	5	0	0	3	0	3	0	0	4	156	204	0	0	16	0	3	0	6	5	1	20	2	0	0	1	0	0	0	1	0	0	0	0	1	0	4	0	0	2	0	0	3	2	0	0	0	0	0	1	0	0	0	0	3	0	2	0	2	1	0	0	2	6	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	11	4	0	0	1	0	0	0	0	0	0	0	0	1	0	5	6	0	0	40	0	0	0	0	0	0	0	0	37	0	0	0	1	3	1	8	0	0	0	492	200	11676
8.37	43.759	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	165	132	0	0	3	0	0	0	6	2	0	10	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	12	0	2	0	19	32	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	0	0	35	0	0	31	0	1	0	14	0	0	0	341	221	7323
8.47	44.456	3	2	0	0	0	35	5	0	0	0	1	0	0	0	13	121	191	1	0	10	0	0	0	3	0	3	9	9	1	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	12	0	0	7	1	0	0	0	0	0	0	0	138	0	0	0	0	1	0	1	0	0	0	428	130	15626
8.57	45.153	0	0	0	0	4	23	1	0	0	0	0	0	0	0	0	191	120	0	0	6	0	13	0	0	6	0	11	0	0	1	1	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	3	0	0	0	0	4	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	1	1	2	7	0	0	0	396	161	11674
8.62	45.502	0	1	0	0	2	17	0	0	3	0	0	0	0	0	2	148	181	0	0	4	0	0	0	3	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	4	0	1	0	15	31	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	4	2	13	0	0	0	387	191	9617
8.68	45.92	0	0	0	0	3	30	3	0	1	0	1	0	0	0	0	146	150	0	0	7	0	0	0	6	6	0	13	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	17	14	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	21	0	6	1	25	0	0	0	383	165	11017
8.77	46.547	0	0	0	0	1	40	1	0	0	0	3	0	0	0	0	161	119	0	0	3	0	0	1	2	3	0	14	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	0	7	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	1	9	0	0	0	359	152	11210
8.87	47.245	24	5	0	0	1	132	7	2	0	4	0	0	0	3	15	216	220	1	0	23	0	0	0	6	3	9	13	2	0	0	0	9	0	0	1	1	0	0	0	13	0	0	0	0	1	0	1	4	5	0	0	2	11	0	8	1	1	0	1	4	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	1	0	0	3	0	0	0	6	0	2	0	1	5	0	0	0	3	0	57	19	0	0	92	1	0	0	0	0	0	0	0	43	0	7	0	9	3	0	6	0	0	0	755	170	21079
8.97	47.942	0	0	0	0	6	38	1	0	0	0	4	0	0	0	2	208	100	0	0	6	0	0	1	5	4	0	17	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	7	0	0	0	14	7	0	0	0	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	1	5	0	17	0	0	0	409	234	8296
9.02	48.29	0	0	0	0	2	20	2	0	0	0	0	0	0	0	0	204	112	0	0	4	0	0	0	2	4	0	14	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	1	0	10	13	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	9	0	4	1	23	0	0	1	375	183	9726
9.08	48.708	0	0	0	0	3	11	1	0	0	0	0	0	0	0	1	131	143	0	0	7	0	0	1	2	5	0	13	1	0	2	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	0	0	0	27	8	0	0	2	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	20	0	3	2	21	0	0	0	333	232	6812
9.17	49.336	0	0	0	0	1	34	0	0	0	0	1	0	0	0	2	226	126	0	0	11	0	5	3	1	3	0	16	0	0	0	2	0	0	0	3	0	0	0	0	5	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	5	0	1	8	0	0	0	24	6	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	2	3	1	14	0	0	0	445	311	6791
9.27	50.033	11	0	0	0	0	12	1	0	0	2	0	0	0	0	3	150	69	0	0	5	0	0	0	7	2	2	6	1	0	0	4	1	0	0	0	1	0	1	0	11	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	0	1	0	2	0	2	1	0	0	3	0	0	0	0	0	0	0	8	0	0	12	0	3	12	0	0	0	1	16	0	0	0	0	1	0	0	1	0	0	0	0	0	0	8	0	0	3	0	0	1	0	0	0	0	0	0	0	0	4	1	3	0	4	0	0	0	305	115	12588
9.32	50.382	0	1	0	0	0	17	1	0	2	0	0	0	0	0	0	184	145	0	0	11	0	1	1	11	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	5	0	1	0	9	24	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	11	4	3	3	18	0	0	1	407	152	12709
9.36	50.66	0	3	0	0	1	29	0	0	1	0	0	0	1	0	7	123	124	0	0	12	0	0	2	6	3	1	12	2	0	0	4	0	0	0	1	0	0	0	0	7	0	0	0	0	2	0	0	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	5	0	3	0	28	11	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	0	0	18	3	13	5	4	0	0	1	355	248	6794
